,Date,Open,High,Low,Close,Volume,rsi,william,bollinger,delta,EMA(12),EMA(26),DIF,DEA
0,1927-12-30,17.66,17.66,17.66,17.66,0,0.0,0.0,0,0.10000000000000142,17.66,17.66,0.0,0.0
1,1928-01-02,17.66,17.66,17.66,17.66,0,0.0,0.0,0,0.05999999999999872,17.66,17.66,0.0,0.0
2,1928-01-03,17.76,17.76,17.76,17.76,0,100.0,0.0,0,-0.21000000000000085,17.675384615384615,17.667407407407406,0.007977207977209133,0.0015954415954418267
3,1928-01-04,17.72,17.72,17.72,17.72,0,71.42857142857034,0.0,0,-0.05999999999999872,17.68224852071006,17.67130315500686,0.010945365703200594,0.00346542641699358
4,1928-01-05,17.55,17.55,17.55,17.55,0,32.25806451612926,0.0,0,-0.05000000000000071,17.661902594446975,17.662317736117465,-0.00041514167049072626,0.002689312799496719
5,1928-01-06,17.66,17.66,17.66,17.66,0,50.0,0.0,0,-0.28999999999999915,17.66160988760898,17.66214605196062,-0.0005361643516401671,0.002044217369269342
6,1928-01-09,17.5,17.5,17.5,17.5,0,36.206896551724164,0.0,0,-0.14999999999999858,17.63674682797683,17.650135233296872,-0.013388405320043262,-0.0010423071685931786
7,1928-01-10,17.37,17.37,17.37,17.37,0,29.577464788732478,0.0,0,0.09999999999999787,17.595708854441934,17.62938447527488,-0.03367562083294473,-0.007568969901463489
8,1928-01-11,17.35,17.35,17.35,17.35,0,28.767123287671335,0.0,0,0.22999999999999687,17.5579074922201,17.60868932895822,-0.0507818367381212,-0.016211543268795033
9,1928-01-12,17.47,17.47,17.47,17.47,0,38.8235294117646,0.0,0,-0.17999999999999972,17.544383262647777,17.598416045331685,-0.05403278268390821,-0.023775791151817667
10,1928-01-13,17.58,17.58,17.58,17.58,0,45.83333333333323,0.0,0,-0.2799999999999976,17.549862760701966,17.597051893825636,-0.04718913312366979,-0.028458459546188093
11,1928-01-16,17.29,17.29,17.29,17.29,0,35.19999999999992,0.0,0,-0.029999999999997584,17.509883874440128,17.57430730909781,-0.06442343465768374,-0.03565145456848723
12,1928-01-17,17.3,17.3,17.3,17.3,0,35.71428571428571,0.0,0,0.0799999999999983,17.477594047603183,17.55398824916464,-0.07639420156145604,-0.04380000396708099
13,1928-01-18,17.26,17.26,17.26,17.26,0,34.615384615384635,0.0,0,0.21999999999999886,17.44411804027962,17.53221134181911,-0.08809330153949091,-0.05265866348156298
14,1928-01-19,17.38,17.38,17.38,17.38,0,40.14084507042246,0.0,0,0.26000000000000156,17.43425372639045,17.520936427610287,-0.08668270121983923,-0.05946347102921823
15,1928-01-20,17.48,17.48,17.48,17.48,0,44.07894736842105,0.0,0,0.23000000000000043,17.44129161463807,17.517904099639154,-0.07661248500108186,-0.06289327382359096
16,1928-01-23,17.64,17.64,17.64,17.64,0,46.20253164556958,0.0,0,-0.120000000000001,17.471862135462985,17.526948240406625,-0.055086104943640635,-0.0613318400476009
17,1928-01-24,17.71,17.71,17.71,17.71,0,49.68944099378888,0.0,0,-0.08000000000000185,17.50849873000714,17.540507630006136,-0.03200889999899559,-0.05546725203787985
18,1928-01-25,17.52,17.52,17.52,17.52,0,49.07975460122695,0.0,0,0.1700000000000017,17.51026815615989,17.53898854630198,-0.028720390142090935,-0.05011787965872207
